F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,6706
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,6707
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,6728
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,6863
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,6884
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,6914
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,6974
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,7115
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,7211
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,7224
True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,7231
True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False,7239
True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,7242
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,7262
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,7264
True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,False,False,True,7318
True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,True,7712
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,8024
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,8036
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,8081
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,8098
True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,8206
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,8211
True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True,8249
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,8446
True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,True,True,8447
True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,True,8500
True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,8603
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,8612
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,8675
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,8682
True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,8820
True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,True,8971
True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False,False,True,8980
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,9053
True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,9068
True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,9430
True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,9465
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,9615
True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,False,9795
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,9939
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,10115
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,10179
True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,10306
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,10346
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,10383
True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,10387
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,10458
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,10467
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,10481
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,10523
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,10531
